Date,netflix_Trend_Australia
4/25/2016,38
5/2/2016,34
5/9/2016,37
5/16/2016,38
5/23/2016,36
5/30/2016,42
6/6/2016,39
6/13/2016,44
6/20/2016,43
6/27/2016,43
7/4/2016,43
7/11/2016,36
7/18/2016,39
7/25/2016,38
8/1/2016,41
8/8/2016,34
8/15/2016,36
8/22/2016,35
8/29/2016,38
9/5/2016,39
9/12/2016,38
9/19/2016,45
9/26/2016,47
10/3/2016,46
10/10/2016,40
10/17/2016,40
10/24/2016,39
10/31/2016,41
11/7/2016,38
11/14/2016,41
11/21/2016,44
11/28/2016,46
12/5/2016,43
12/12/2016,46
12/19/2016,53
12/26/2016,59
1/2/2017,57
1/9/2017,55
1/16/2017,54
1/23/2017,50
1/30/2017,47
2/6/2017,45
2/13/2017,46
2/20/2017,43
2/27/2017,41
3/6/2017,43
3/13/2017,45
3/20/2017,47
3/27/2017,48
4/3/2017,49
4/10/2017,56
4/17/2017,57
4/24/2017,53
5/1/2017,44
5/8/2017,44
5/15/2017,44
5/22/2017,43
5/29/2017,43
6/5/2017,49
6/12/2017,52
6/19/2017,46
6/26/2017,56
7/3/2017,55
7/10/2017,53
7/17/2017,50
7/24/2017,50
7/31/2017,46
8/7/2017,45
8/14/2017,49
8/21/2017,49
8/28/2017,48
9/4/2017,46
9/11/2017,47
9/18/2017,46
9/25/2017,51
10/2/2017,54
10/9/2017,50
10/16/2017,50
10/23/2017,51
10/30/2017,53
11/6/2017,54
11/13/2017,52
11/20/2017,50
11/27/2017,54
12/4/2017,58
12/11/2017,57
12/18/2017,59
12/25/2017,72
1/1/2018,70
1/8/2018,64
1/15/2018,65
1/22/2018,63
1/29/2018,55
2/5/2018,52
2/12/2018,51
2/19/2018,54
2/26/2018,54
3/5/2018,55
3/12/2018,58
3/19/2018,55
3/26/2018,62
4/2/2018,67
4/9/2018,58
4/16/2018,63
4/23/2018,60
4/30/2018,57
5/7/2018,59
5/14/2018,57
5/21/2018,60
5/28/2018,58
6/4/2018,54
6/11/2018,61
6/18/2018,58
6/25/2018,60
7/2/2018,65
7/9/2018,60
7/16/2018,57
7/23/2018,56
7/30/2018,55
8/6/2018,55
8/13/2018,54
8/20/2018,52
8/27/2018,53
9/3/2018,52
9/10/2018,50
9/17/2018,53
9/24/2018,58
10/1/2018,59
10/8/2018,56
10/15/2018,56
10/22/2018,60
10/29/2018,59
11/5/2018,56
11/12/2018,53
11/19/2018,54
11/26/2018,52
12/3/2018,54
12/10/2018,59
12/17/2018,61
12/24/2018,82
12/31/2018,84
1/7/2019,78
1/14/2019,77
1/21/2019,70
1/28/2019,70
2/4/2019,58
2/11/2019,59
2/18/2019,60
2/25/2019,56
3/4/2019,52
3/11/2019,55
3/18/2019,56
3/25/2019,57
4/1/2019,55
4/8/2019,57
4/15/2019,69
4/22/2019,66
4/29/2019,52
5/6/2019,57
5/13/2019,52
5/20/2019,64
5/27/2019,66
6/3/2019,61
6/10/2019,58
6/17/2019,60
6/24/2019,61
7/1/2019,63
7/8/2019,62
7/15/2019,61
7/22/2019,60
7/29/2019,57
8/5/2019,53
8/12/2019,51
8/19/2019,52
8/26/2019,56
9/2/2019,54
9/9/2019,52
9/16/2019,62
9/23/2019,59
9/30/2019,61
10/7/2019,59
10/14/2019,56
10/21/2019,54
10/28/2019,56
11/4/2019,63
11/11/2019,58
11/18/2019,59
11/25/2019,53
12/2/2019,57
12/9/2019,59
12/16/2019,64
12/23/2019,77
12/30/2019,77
1/6/2020,71
1/13/2020,66
1/20/2020,62
1/27/2020,61
2/3/2020,61
2/10/2020,58
2/17/2020,54
2/24/2020,55
3/2/2020,52
3/9/2020,56
3/16/2020,65
3/23/2020,92
3/30/2020,100
4/6/2020,98
4/13/2020,98
4/20/2020,92
4/27/2020,86
5/4/2020,79
5/11/2020,71
5/18/2020,68
5/25/2020,67
6/1/2020,65
6/8/2020,62
6/15/2020,57
6/22/2020,68
6/29/2020,71
7/6/2020,69
7/13/2020,69
7/20/2020,65
7/27/2020,66
8/3/2020,62
8/10/2020,64
8/17/2020,63
8/24/2020,60
8/31/2020,60
9/7/2020,66
9/14/2020,73
9/21/2020,69
9/28/2020,65
10/5/2020,62
10/12/2020,57
10/19/2020,57
10/26/2020,57
11/2/2020,48
11/9/2020,49
11/16/2020,56
11/23/2020,51
11/30/2020,53
12/7/2020,56
12/14/2020,56
12/21/2020,60
12/28/2020,80
1/4/2021,64
1/11/2021,63
1/18/2021,64
1/25/2021,63
2/1/2021,58
2/8/2021,53
2/15/2021,53
2/22/2021,56
3/1/2021,50
3/8/2021,51
3/15/2021,51
3/22/2021,51
3/29/2021,57
4/5/2021,62
4/12/2021,53
4/19/2021,59
