Date,netflix_Trend_England
4/25/2016,29
5/2/2016,31
5/9/2016,28
5/16/2016,28
5/23/2016,27
5/30/2016,33
6/6/2016,26
6/13/2016,31
6/20/2016,31
6/27/2016,31
7/4/2016,30
7/11/2016,30
7/18/2016,31
7/25/2016,32
8/1/2016,34
8/8/2016,29
8/15/2016,28
8/22/2016,33
8/29/2016,37
9/5/2016,32
9/12/2016,31
9/19/2016,34
9/26/2016,38
10/3/2016,34
10/10/2016,33
10/17/2016,38
10/24/2016,36
10/31/2016,37
11/7/2016,35
11/14/2016,32
11/21/2016,33
11/28/2016,33
12/5/2016,33
12/12/2016,37
12/19/2016,39
12/26/2016,41
1/2/2017,42
1/9/2017,39
1/16/2017,38
1/23/2017,36
1/30/2017,36
2/6/2017,39
2/13/2017,38
2/20/2017,34
2/27/2017,34
3/6/2017,32
3/13/2017,33
3/20/2017,37
3/27/2017,36
4/3/2017,36
4/10/2017,38
4/17/2017,40
4/24/2017,33
5/1/2017,38
5/8/2017,33
5/15/2017,34
5/22/2017,29
5/29/2017,35
6/5/2017,30
6/12/2017,29
6/19/2017,30
6/26/2017,37
7/3/2017,32
7/10/2017,33
7/17/2017,39
7/24/2017,44
7/31/2017,42
8/7/2017,41
8/14/2017,41
8/21/2017,45
8/28/2017,43
9/4/2017,41
9/11/2017,38
9/18/2017,41
9/25/2017,41
10/2/2017,42
10/9/2017,43
10/16/2017,43
10/23/2017,48
10/30/2017,44
11/6/2017,45
11/13/2017,45
11/20/2017,44
11/27/2017,41
12/4/2017,46
12/11/2017,48
12/18/2017,57
12/25/2017,66
1/1/2018,58
1/8/2018,51
1/15/2018,52
1/22/2018,56
1/29/2018,49
2/5/2018,50
2/12/2018,48
2/19/2018,46
2/26/2018,52
3/5/2018,49
3/12/2018,49
3/19/2018,48
3/26/2018,52
4/2/2018,55
4/9/2018,46
4/16/2018,45
4/23/2018,45
4/30/2018,45
5/7/2018,46
5/14/2018,49
5/21/2018,48
5/28/2018,50
6/4/2018,42
6/11/2018,45
6/18/2018,42
6/25/2018,40
7/2/2018,38
7/9/2018,41
7/16/2018,46
7/23/2018,48
7/30/2018,51
8/6/2018,49
8/13/2018,51
8/20/2018,54
8/27/2018,53
9/3/2018,48
9/10/2018,46
9/17/2018,49
9/24/2018,48
10/1/2018,48
10/8/2018,50
10/15/2018,57
10/22/2018,60
10/29/2018,62
11/5/2018,53
11/12/2018,50
11/19/2018,47
11/26/2018,47
12/3/2018,51
12/10/2018,54
12/17/2018,59
12/24/2018,90
12/31/2018,85
1/7/2019,71
1/14/2019,73
1/21/2019,73
1/28/2019,66
2/4/2019,60
2/11/2019,59
2/18/2019,60
2/25/2019,56
3/4/2019,54
3/11/2019,67
3/18/2019,60
3/25/2019,52
4/1/2019,53
4/8/2019,53
4/15/2019,52
4/22/2019,51
4/29/2019,54
5/6/2019,55
5/13/2019,45
5/20/2019,47
5/27/2019,56
6/3/2019,51
6/10/2019,51
6/17/2019,49
6/24/2019,42
7/1/2019,44
7/8/2019,47
7/15/2019,53
7/22/2019,51
7/29/2019,52
8/5/2019,50
8/12/2019,53
8/19/2019,48
8/26/2019,56
9/2/2019,49
9/9/2019,48
9/16/2019,55
9/23/2019,56
9/30/2019,51
10/7/2019,51
10/14/2019,55
10/21/2019,58
10/28/2019,59
11/4/2019,57
11/11/2019,56
11/18/2019,52
11/25/2019,48
12/2/2019,48
12/9/2019,49
12/16/2019,64
12/23/2019,77
12/30/2019,82
1/6/2020,64
1/13/2020,60
1/20/2020,60
1/27/2020,59
2/3/2020,68
2/10/2020,66
2/17/2020,65
2/24/2020,60
3/2/2020,59
3/9/2020,54
3/16/2020,83
3/23/2020,95
3/30/2020,100
4/6/2020,85
4/13/2020,92
4/20/2020,82
4/27/2020,83
5/4/2020,77
5/11/2020,74
5/18/2020,69
5/25/2020,68
6/1/2020,69
6/8/2020,75
6/15/2020,67
6/22/2020,63
6/29/2020,72
7/6/2020,64
7/13/2020,61
7/20/2020,63
7/27/2020,59
8/3/2020,55
8/10/2020,57
8/17/2020,64
8/24/2020,62
8/31/2020,69
9/7/2020,62
9/14/2020,67
9/21/2020,66
9/28/2020,68
10/5/2020,65
10/12/2020,64
10/19/2020,69
10/26/2020,70
11/2/2020,60
11/9/2020,69
11/16/2020,65
11/23/2020,60
11/30/2020,54
12/7/2020,60
12/14/2020,65
12/21/2020,80
12/28/2020,88
1/4/2021,73
1/11/2021,81
1/18/2021,77
1/25/2021,79
2/1/2021,74
2/8/2021,73
2/15/2021,79
2/22/2021,67
3/1/2021,64
3/8/2021,63
3/15/2021,58
3/22/2021,57
3/29/2021,61
4/5/2021,65
4/12/2021,52
4/19/2021,57
