Date,netflix_Trend_Japan
4/25/2016,16
5/2/2016,20
5/9/2016,15
5/16/2016,17
5/23/2016,17
5/30/2016,17
6/6/2016,18
6/13/2016,17
6/20/2016,20
6/27/2016,18
7/4/2016,17
7/11/2016,15
7/18/2016,17
7/25/2016,13
8/1/2016,18
8/8/2016,16
8/15/2016,15
8/22/2016,18
8/29/2016,17
9/5/2016,18
9/12/2016,18
9/19/2016,20
9/26/2016,21
10/3/2016,19
10/10/2016,17
10/17/2016,16
10/24/2016,16
10/31/2016,19
11/7/2016,16
11/14/2016,19
11/21/2016,17
11/28/2016,18
12/5/2016,19
12/12/2016,20
12/19/2016,20
12/26/2016,23
1/2/2017,21
1/9/2017,20
1/16/2017,20
1/23/2017,22
1/30/2017,20
2/6/2017,20
2/13/2017,17
2/20/2017,21
2/27/2017,20
3/6/2017,19
3/13/2017,20
3/20/2017,22
3/27/2017,23
4/3/2017,17
4/10/2017,21
4/17/2017,24
4/24/2017,22
5/1/2017,26
5/8/2017,20
5/15/2017,21
5/22/2017,26
5/29/2017,27
6/5/2017,23
6/12/2017,22
6/19/2017,22
6/26/2017,22
7/3/2017,20
7/10/2017,20
7/17/2017,21
7/24/2017,19
7/31/2017,23
8/7/2017,26
8/14/2017,23
8/21/2017,24
8/28/2017,25
9/4/2017,25
9/11/2017,23
9/18/2017,28
9/25/2017,25
10/2/2017,28
10/9/2017,24
10/16/2017,25
10/23/2017,27
10/30/2017,25
11/6/2017,35
11/13/2017,28
11/20/2017,30
11/27/2017,26
12/4/2017,28
12/11/2017,30
12/18/2017,32
12/25/2017,38
1/1/2018,37
1/8/2018,38
1/15/2018,38
1/22/2018,34
1/29/2018,31
2/5/2018,32
2/12/2018,32
2/19/2018,41
2/26/2018,31
3/5/2018,35
3/12/2018,31
3/19/2018,32
3/26/2018,31
4/2/2018,32
4/9/2018,32
4/16/2018,35
4/23/2018,31
4/30/2018,41
5/7/2018,34
5/14/2018,32
5/21/2018,34
5/28/2018,33
6/4/2018,31
6/11/2018,29
6/18/2018,27
6/25/2018,34
7/2/2018,32
7/9/2018,32
7/16/2018,34
7/23/2018,32
7/30/2018,39
8/6/2018,38
8/13/2018,35
8/20/2018,38
8/27/2018,43
9/3/2018,40
9/10/2018,35
9/17/2018,36
9/24/2018,43
10/1/2018,37
10/8/2018,40
10/15/2018,39
10/22/2018,32
10/29/2018,39
11/5/2018,36
11/12/2018,39
11/19/2018,42
11/26/2018,36
12/3/2018,38
12/10/2018,41
12/17/2018,42
12/24/2018,43
12/31/2018,52
1/7/2019,42
1/14/2019,42
1/21/2019,41
1/28/2019,40
2/4/2019,35
2/11/2019,36
2/18/2019,35
2/25/2019,37
3/4/2019,31
3/11/2019,34
3/18/2019,36
3/25/2019,37
4/1/2019,37
4/8/2019,40
4/15/2019,34
4/22/2019,36
4/29/2019,44
5/6/2019,33
5/13/2019,42
5/20/2019,36
5/27/2019,37
6/3/2019,36
6/10/2019,38
6/17/2019,34
6/24/2019,39
7/1/2019,40
7/8/2019,40
7/15/2019,39
7/22/2019,33
7/29/2019,32
8/5/2019,35
8/12/2019,45
8/19/2019,44
8/26/2019,43
9/2/2019,40
9/9/2019,37
9/16/2019,40
9/23/2019,38
9/30/2019,41
10/7/2019,45
10/14/2019,38
10/21/2019,39
10/28/2019,37
11/4/2019,37
11/11/2019,38
11/18/2019,38
11/25/2019,32
12/2/2019,34
12/9/2019,48
12/16/2019,44
12/23/2019,52
12/30/2019,86
1/6/2020,57
1/13/2020,46
1/20/2020,48
1/27/2020,46
2/3/2020,47
2/10/2020,51
2/17/2020,43
2/24/2020,54
3/2/2020,52
3/9/2020,55
3/16/2020,54
3/23/2020,54
3/30/2020,61
4/6/2020,76
4/13/2020,84
4/20/2020,96
4/27/2020,97
5/4/2020,100
5/11/2020,78
5/18/2020,82
5/25/2020,70
6/1/2020,71
6/8/2020,64
6/15/2020,67
6/22/2020,65
6/29/2020,64
7/6/2020,62
7/13/2020,65
7/20/2020,64
7/27/2020,66
8/3/2020,66
8/10/2020,71
8/17/2020,66
8/24/2020,62
8/31/2020,56
9/7/2020,64
9/14/2020,62
9/21/2020,66
9/28/2020,56
10/5/2020,62
10/12/2020,58
10/19/2020,55
10/26/2020,57
11/2/2020,61
11/9/2020,60
11/16/2020,58
11/23/2020,64
11/30/2020,65
12/7/2020,70
12/14/2020,75
12/21/2020,79
12/28/2020,97
1/4/2021,86
1/11/2021,84
1/18/2021,87
1/25/2021,87
2/1/2021,94
2/8/2021,74
2/15/2021,77
2/22/2021,79
3/1/2021,73
3/8/2021,75
3/15/2021,69
3/22/2021,63
3/29/2021,72
4/5/2021,69
4/12/2021,64
4/19/2021,75
