Date,netflix_Trend_UnitedStates
4/25/2016,43
5/2/2016,43
5/9/2016,43
5/16/2016,45
5/23/2016,48
5/30/2016,53
6/6/2016,49
6/13/2016,51
6/20/2016,50
6/27/2016,51
7/4/2016,51
7/11/2016,49
7/18/2016,48
7/25/2016,48
8/1/2016,50
8/8/2016,44
8/15/2016,46
8/22/2016,48
8/29/2016,50
9/5/2016,52
9/12/2016,46
9/19/2016,46
9/26/2016,52
10/3/2016,51
10/10/2016,46
10/17/2016,48
10/24/2016,46
10/31/2016,46
11/7/2016,43
11/14/2016,45
11/21/2016,55
11/28/2016,48
12/5/2016,45
12/12/2016,50
12/19/2016,54
12/26/2016,64
1/2/2017,61
1/9/2017,56
1/16/2017,56
1/23/2017,52
1/30/2017,48
2/6/2017,48
2/13/2017,47
2/20/2017,46
2/27/2017,46
3/6/2017,44
3/13/2017,49
3/20/2017,51
3/27/2017,52
4/3/2017,52
4/10/2017,50
4/17/2017,48
4/24/2017,46
5/1/2017,47
5/8/2017,46
5/15/2017,45
5/22/2017,48
5/29/2017,53
6/5/2017,46
6/12/2017,48
6/19/2017,51
6/26/2017,52
7/3/2017,55
7/10/2017,48
7/17/2017,52
7/24/2017,51
7/31/2017,51
8/7/2017,50
8/14/2017,47
8/21/2017,48
8/28/2017,49
9/4/2017,49
9/11/2017,46
9/18/2017,48
9/25/2017,47
10/2/2017,48
10/9/2017,49
10/16/2017,49
10/23/2017,52
10/30/2017,52
11/6/2017,49
11/13/2017,49
11/20/2017,59
11/27/2017,49
12/4/2017,55
12/11/2017,52
12/18/2017,58
12/25/2017,72
1/1/2018,71
1/8/2018,57
1/15/2018,59
1/22/2018,55
1/29/2018,55
2/5/2018,51
2/12/2018,51
2/19/2018,52
2/26/2018,52
3/5/2018,54
3/12/2018,52
3/19/2018,50
3/26/2018,54
4/2/2018,53
4/9/2018,50
4/16/2018,50
4/23/2018,47
4/30/2018,47
5/7/2018,48
5/14/2018,52
5/21/2018,55
5/28/2018,57
6/4/2018,50
6/11/2018,55
6/18/2018,54
6/25/2018,51
7/2/2018,55
7/9/2018,50
7/16/2018,51
7/23/2018,52
7/30/2018,55
8/6/2018,52
8/13/2018,53
8/20/2018,51
8/27/2018,52
9/3/2018,51
9/10/2018,49
9/17/2018,48
9/24/2018,49
10/1/2018,48
10/8/2018,50
10/15/2018,52
10/22/2018,54
10/29/2018,54
11/5/2018,47
11/12/2018,47
11/19/2018,55
11/26/2018,49
12/3/2018,53
12/10/2018,52
12/17/2018,60
12/24/2018,100
12/31/2018,87
1/7/2019,69
1/14/2019,75
1/21/2019,69
1/28/2019,65
2/4/2019,56
2/11/2019,56
2/18/2019,56
2/25/2019,51
3/4/2019,52
3/11/2019,51
3/18/2019,52
3/25/2019,50
4/1/2019,54
4/8/2019,50
4/15/2019,51
4/22/2019,50
4/29/2019,51
5/6/2019,50
5/13/2019,51
5/20/2019,54
5/27/2019,60
6/3/2019,56
6/10/2019,54
6/17/2019,57
6/24/2019,55
7/1/2019,57
7/8/2019,55
7/15/2019,56
7/22/2019,55
7/29/2019,55
8/5/2019,51
8/12/2019,50
8/19/2019,52
8/26/2019,53
9/2/2019,53
9/9/2019,47
9/16/2019,51
9/23/2019,50
9/30/2019,49
10/7/2019,53
10/14/2019,49
10/21/2019,52
10/28/2019,53
11/4/2019,52
11/11/2019,52
11/18/2019,49
11/25/2019,56
12/2/2019,48
12/9/2019,48
12/16/2019,55
12/23/2019,71
12/30/2019,85
1/6/2020,66
1/13/2020,61
1/20/2020,64
1/27/2020,54
2/3/2020,54
2/10/2020,54
2/17/2020,53
2/24/2020,54
3/2/2020,52
3/9/2020,55
3/16/2020,85
3/23/2020,96
3/30/2020,91
4/6/2020,83
4/13/2020,81
4/20/2020,89
4/27/2020,78
5/4/2020,76
5/11/2020,72
5/18/2020,67
5/25/2020,69
6/1/2020,58
6/8/2020,65
6/15/2020,60
6/22/2020,63
6/29/2020,68
7/6/2020,65
7/13/2020,64
7/20/2020,62
7/27/2020,60
8/3/2020,62
8/10/2020,59
8/17/2020,63
8/24/2020,57
8/31/2020,60
9/7/2020,74
9/14/2020,76
9/21/2020,64
9/28/2020,59
10/5/2020,58
10/12/2020,55
10/19/2020,57
10/26/2020,62
11/2/2020,44
11/9/2020,53
11/16/2020,54
11/23/2020,64
11/30/2020,59
12/7/2020,60
12/14/2020,60
12/21/2020,69
12/28/2020,78
1/4/2021,61
1/11/2021,59
1/18/2021,67
1/25/2021,61
2/1/2021,61
2/8/2021,55
2/15/2021,61
2/22/2021,56
3/1/2021,53
3/8/2021,48
3/15/2021,47
3/22/2021,46
3/29/2021,47
4/5/2021,46
4/12/2021,45
4/19/2021,57
