Date,netflix_Trend_wordwide ,Date_ID
4/25/2016,28,20160425
5/2/2016,26,20160502
5/9/2016,26,20160509
5/16/2016,27,20160516
5/23/2016,28,20160523
5/30/2016,29,20160530
6/6/2016,28,20160606
6/13/2016,29,20160613
6/20/2016,30,20160620
6/27/2016,31,20160627
7/4/2016,31,20160704
7/11/2016,30,20160711
7/18/2016,31,20160718
7/25/2016,31,20160725
8/1/2016,33,20160801
8/8/2016,28,20160808
8/15/2016,29,20160815
8/22/2016,30,20160822
8/29/2016,31,20160829
9/5/2016,31,20160905
9/12/2016,29,20160912
9/19/2016,30,20160919
9/26/2016,33,20160926
10/3/2016,32,20161003
10/10/2016,33,20161010
10/17/2016,31,20161017
10/24/2016,31,20161024
10/31/2016,33,20161031
11/7/2016,30,20161107
11/14/2016,32,20161114
11/21/2016,33,20161121
11/28/2016,33,20161128
12/5/2016,32,20161205
12/12/2016,34,20161212
12/19/2016,36,20161219
12/26/2016,41,20161226
1/2/2017,41,20170102
1/9/2017,38,20170109
1/16/2017,37,20170116
1/23/2017,35,20170123
1/30/2017,34,20170130
2/6/2017,34,20170206
2/13/2017,32,20170213
2/20/2017,32,20170220
2/27/2017,35,20170227
3/6/2017,32,20170306
3/13/2017,33,20170313
3/20/2017,36,20170320
3/27/2017,35,20170327
4/3/2017,36,20170403
4/10/2017,37,20170410
4/17/2017,37,20170417
4/24/2017,35,20170424
5/1/2017,37,20170501
5/8/2017,35,20170508
5/15/2017,32,20170515
5/22/2017,34,20170522
5/29/2017,34,20170529
6/5/2017,33,20170605
6/12/2017,35,20170612
6/19/2017,34,20170619
6/26/2017,36,20170626
7/3/2017,38,20170703
7/10/2017,39,20170710
7/17/2017,39,20170717
7/24/2017,41,20170724
7/31/2017,40,20170731
8/7/2017,40,20170807
8/14/2017,39,20170814
8/21/2017,40,20170821
8/28/2017,41,20170828
9/4/2017,40,20170904
9/11/2017,36,20170911
9/18/2017,38,20170918
9/25/2017,38,20170925
10/2/2017,39,20171002
10/9/2017,40,20171009
10/16/2017,39,20171016
10/23/2017,40,20171023
10/30/2017,43,20171030
11/6/2017,39,20171106
11/13/2017,40,20171113
11/20/2017,42,20171120
11/27/2017,39,20171127
12/4/2017,42,20171204
12/11/2017,41,20171211
12/18/2017,44,20171218
12/25/2017,55,20171225
1/1/2018,53,20180101
1/8/2018,48,20180108
1/15/2018,46,20180115
1/22/2018,46,20180122
1/29/2018,44,20180129
2/5/2018,43,20180205
2/12/2018,44,20180212
2/19/2018,44,20180219
2/26/2018,43,20180226
3/5/2018,42,20180305
3/12/2018,43,20180312
3/19/2018,42,20180319
3/26/2018,48,20180326
4/2/2018,45,20180402
4/9/2018,42,20180409
4/16/2018,41,20180416
4/23/2018,42,20180423
4/30/2018,43,20180430
5/7/2018,41,20180507
5/14/2018,44,20180514
5/21/2018,47,20180521
5/28/2018,46,20180528
6/4/2018,42,20180604
6/11/2018,44,20180611
6/18/2018,41,20180618
6/25/2018,40,20180625
7/2/2018,41,20180702
7/9/2018,43,20180709
7/16/2018,45,20180716
7/23/2018,45,20180723
7/30/2018,43,20180730
8/6/2018,42,20180806
8/13/2018,44,20180813
8/20/2018,44,20180820
8/27/2018,46,20180827
9/3/2018,44,20180903
9/10/2018,42,20180910
9/17/2018,41,20180917
9/24/2018,41,20180924
10/1/2018,40,20181001
10/8/2018,43,20181008
10/15/2018,44,20181015
10/22/2018,46,20181022
10/29/2018,48,20181029
11/5/2018,43,20181105
11/12/2018,42,20181112
11/19/2018,44,20181119
11/26/2018,43,20181126
12/3/2018,43,20181203
12/10/2018,45,20181210
12/17/2018,46,20181217
12/24/2018,68,20181224
12/31/2018,71,20181231
1/7/2019,59,20190107
1/14/2019,59,20190114
1/21/2019,55,20190121
1/28/2019,54,20190128
2/4/2019,49,20190204
2/11/2019,47,20190211
2/18/2019,47,20190218
2/25/2019,44,20190225
3/4/2019,43,20190304
3/11/2019,43,20190311
3/18/2019,44,20190318
3/25/2019,42,20190325
4/1/2019,43,20190401
4/8/2019,43,20190408
4/15/2019,45,20190415
4/22/2019,43,20190422
4/29/2019,45,20190429
5/6/2019,41,20190506
5/13/2019,41,20190513
5/20/2019,42,20190520
5/27/2019,45,20190527
6/3/2019,44,20190603
6/10/2019,44,20190610
6/17/2019,48,20190617
6/24/2019,42,20190624
7/1/2019,46,20190701
7/8/2019,46,20190708
7/15/2019,51,20190715
7/22/2019,51,20190722
7/29/2019,47,20190729
8/5/2019,46,20190805
8/12/2019,48,20190812
8/19/2019,46,20190819
8/26/2019,46,20190826
9/2/2019,45,20190902
9/9/2019,44,20190909
9/16/2019,45,20190916
9/23/2019,44,20190923
9/30/2019,44,20190930
10/7/2019,45,20191007
10/14/2019,45,20191014
10/21/2019,46,20191021
10/28/2019,48,20191028
11/4/2019,46,20191104
11/11/2019,48,20191111
11/18/2019,46,20191118
11/25/2019,45,20191125
12/2/2019,45,20191202
12/9/2019,45,20191209
