Date,Open,High,Low,Close,Adj Close,Volume
4/18/2016,99.489998,101.370003,93.139999,95.900002,95.900002,118068000
4/25/2016,95.699997,95.75,88.209999,90.029999,90.029999,67978100
5/2/2016,90.410004,93.25,88.110001,90.839996,90.839996,51338000
5/9/2016,90.730003,93.25,85.739998,87.879997,87.879997,64392000
5/16/2016,87.559998,93.279999,86.150002,92.489998,92.489998,63244200
5/23/2016,92.980003,104,92.849998,103.300003,103.300003,77298000
5/30/2016,102.949997,103.449997,98.529999,99.589996,99.589996,34335500
6/6/2016,100.290001,101.629997,93.279999,93.75,93.75,44558400
6/13/2016,95.019997,97.199997,93.25,94.449997,94.449997,46237700
6/20/2016,95.220001,95.879997,87.209999,88.440002,88.440002,55748400
6/27/2016,87.879997,97,84.809998,96.669998,96.669998,62229400
7/4/2016,95.199997,101.269997,93.18,97.059998,97.059998,60429500
7/11/2016,96.190002,98.699997,94.089996,98.389999,98.389999,52589400
7/18/2016,98.43,99.839996,84.5,85.889999,85.889999,135323900
7/25/2016,85.730003,93.099998,85.010002,91.25,91.25,55628000
8/1/2016,91.230003,97.739998,90.5,97.029999,97.029999,51942200
8/8/2016,95.910004,96.830002,92.949997,96.589996,96.589996,40962500
8/15/2016,96.830002,97.220001,94.400002,95.870003,95.870003,36127000
8/22/2016,95.669998,98.25,94.910004,97.580002,97.580002,34786800
8/29/2016,96.970001,98.849998,96.57,97.379997,97.379997,27188300
9/5/2016,97.760002,100.32,96.5,96.5,96.5,28079100
9/12/2016,95.910004,99.489998,95.330002,99.480003,99.480003,42726100
9/19/2016,99.900002,100.349998,93.260002,95.940002,95.940002,50789700
9/26/2016,95.379997,99.529999,94.040001,98.550003,98.550003,39679900
10/3/2016,98,106.970001,98,104.82,104.82,55677700
10/10/2016,103.18,104.529999,97.629997,101.470001,101.470001,41009500
10/17/2016,100.5,127.849998,98.379997,127.5,127.5,124064600
10/24/2016,127.419998,129.289993,125.75,126.57,126.57,46828500
10/31/2016,126.849998,126.900002,121.620003,122.029999,122.029999,28431600
11/7/2016,124.260002,125.809998,113.110001,114.779999,114.779999,49022600
11/14/2016,114.75,116.809998,110.68,115.209999,115.209999,36290700
11/21/2016,116.199997,119.459999,116.190002,117.410004,117.410004,20209300
11/28/2016,117.050003,120.980003,113.949997,120.809998,120.809998,37666800
12/5/2016,120.730003,126.349998,118.400002,122.879997,122.879997,41032700
12/12/2016,122.839996,127.43,122.300003,124.220001,124.220001,30836600
12/19/2016,124.300003,127.739998,122.870003,125.589996,125.589996,21491000
12/26/2016,126.239998,129.070007,123.599998,123.800003,123.800003,17577900
1/2/2017,124.959999,133.880005,124.309998,131.070007,131.070007,38124900
1/9/2017,131.479996,133.929993,128.5,133.699997,133.699997,33276600
1/16/2017,135.039993,143.460007,131.059998,138.600006,138.600006,61089600
1/23/2017,138.649994,142.490005,137.029999,142.449997,142.449997,36788900
1/30/2017,141.770004,142.410004,138.800003,140.25,140.25,25542500
2/6/2017,140,145.300003,139.160004,144.820007,144.820007,29739700
2/13/2017,145.190002,145.949997,140.050003,142.220001,142.220001,25902900
2/20/2017,142.990005,144.490005,141.520004,143.25,143.25,15024200
2/27/2017,143.119995,143.919998,138.259995,139.139999,139.139999,23459900
3/6/2017,141,142.839996,139.740005,140.889999,140.889999,21413800
3/13/2017,140.899994,146.5,140.320007,145.110001,145.110001,27137700
3/20/2017,145.449997,147.699997,140.759995,142.020004,142.020004,24836900
3/27/2017,140.830002,148.289993,140,147.809998,147.809998,21614000
4/3/2017,146.699997,148.009995,142.710007,143.110001,143.110001,19938700
4/10/2017,143.039993,145.740005,141.210007,142.919998,142.919998,18501700
4/17/2017,144.429993,147.399994,138.660004,142.869995,142.869995,62503800
4/24/2017,143.610001,153.520004,143.399994,152.199997,152.199997,48834800
5/1/2017,151.910004,158.589996,151.610001,156.600006,156.600006,29271600
5/8/2017,156.550003,161.100006,155.300003,160.809998,160.809998,26370000
5/15/2017,160.25,161.779999,153,157.020004,157.020004,27515600
5/22/2017,157.860001,164.100006,156.429993,162.429993,162.429993,23481100
5/29/2017,163.600006,165.360001,160.740005,165.179993,165.179993,18312900
6/5/2017,165.490005,166.869995,154.5,158.029999,158.029999,25621500
6/12/2017,155.300003,155.679993,147.300003,152.380005,152.380005,43290400
6/19/2017,154.289993,158.190002,151.399994,158.020004,158.020004,27246400
6/26/2017,158.779999,159.970001,148,149.410004,149.410004,31386000
7/3/2017,149.800003,150.75,144.25,150.179993,150.179993,19583800
7/10/2017,150.339996,161.350006,149.649994,161.119995,161.119995,30990300
7/17/2017,162.910004,191.5,160.020004,188.539993,188.539993,93613000
7/24/2017,188.690002,190.25,179.380005,184.039993,184.039993,36074000
