region_name,fiscal_year,fiscal_qtr,date,Subscribers,Revenue
United States and Canada,2018,1,2018/3/31,60909000,1976157000
"Europe, Middle East, and Africa",2018,1,2018/3/31,29339000,886649000
Latin America,2018,1,2018/3/31,21260000,540182000
Asia-Pacific,2018,1,2018/3/31,7394000,199117000
United States and Canada,2018,2,2018/6/30,61870000,2049546000
"Europe, Middle East, and Africa",2018,2,2018/6/30,31317000,975497000
Latin America,2018,2,2018/6/30,22795000,568071000
Asia-Pacific,2018,2,2018/6/30,8372000,221252000
United States and Canada,2018,3,2018/9/30,63010000,2094850000
"Europe, Middle East, and Africa",2018,3,2018/9/30,33836000,1004749000
Latin America,2018,3,2018/9/30,24115000,562307000
Asia-Pacific,2018,3,2018/9/30,9461000,248691000
United States and Canada,2018,4,2018/12/31,64757000,2160979000
"Europe, Middle East, and Africa",2018,4,2018/12/31,37818000,1096812000
Latin America,2018,4,2018/12/31,26077000,567137000
Asia-Pacific,2018,4,2018/12/31,10607000,276756000
United States and Canada,2019,1,2019/3/31,66633000,2256851000
"Europe, Middle East, and Africa",2019,1,2019/3/31,42542000,1233379000
Latin America,2019,1,2019/3/31,27547000,630472000
Asia-Pacific,2019,1,2019/3/31,12141000,319602000
United States and Canada,2019,2,2019/6/30,66501000,2501199000
"Europe, Middle East, and Africa",2019,2,2019/6/30,44229000,1319087000
Latin America,2019,2,2019/6/30,27890000,677136000
Asia-Pacific,2019,2,2019/6/30,12942000,349494000
United States and Canada,2019,3,2019/9/30,67114000,2621250000
"Europe, Middle East, and Africa",2019,3,2019/9/30,47355000,1428040000
Latin America,2019,3,2019/9/30,29380000,741434000
Asia-Pacific,2019,3,2019/9/30,14485000,382304000
United States and Canada,2019,4,2019/12/31,67662000,2671908000
"Europe, Middle East, and Africa",2019,4,2019/12/31,51778000,1562561000
Latin America,2019,4,2019/12/31,31417000,746392000
Asia-Pacific,2019,4,2019/12/31,16233000,418121000
United States and Canada,2020,1,2020/3/31,69969000,2702776000
"Europe, Middle East, and Africa",2020,1,2020/3/31,58734000,1723474000
Latin America,2020,1,2020/3/31,34318000,793453000
Asia-Pacific,2020,1,2020/3/31,19835000,483660000
United States and Canada,2020,2,2020/6/30,72904000,2839670000
"Europe, Middle East, and Africa",2020,2,2020/6/30,61483000,1892537000
Latin America,2020,2,2020/6/30,36068000,785368000
Asia-Pacific,2020,2,2020/6/30,22492000,569140000
