date_id,full_date,year,year_week,year_day,fiscal_year,fiscal_qtr,month,month_name,week_day,day_name
20160101,2016-01-01,2016,0,1,2016,1,1,January,5,Friday
20160102,2016-01-02,2016,0,2,2016,1,1,January,6,Saturday
20160103,2016-01-03,2016,1,3,2016,1,1,January,0,Sunday
20160104,2016-01-04,2016,1,4,2016,1,1,January,1,Monday
20160105,2016-01-05,2016,1,5,2016,1,1,January,2,Tuesday
20160106,2016-01-06,2016,1,6,2016,1,1,January,3,Wednesday
20160107,2016-01-07,2016,1,7,2016,1,1,January,4,Thursday
20160108,2016-01-08,2016,1,8,2016,1,1,January,5,Friday
20160109,2016-01-09,2016,1,9,2016,1,1,January,6,Saturday
20160110,2016-01-10,2016,2,10,2016,1,1,January,0,Sunday
20160111,2016-01-11,2016,2,11,2016,1,1,January,1,Monday
20160112,2016-01-12,2016,2,12,2016,1,1,January,2,Tuesday
20160113,2016-01-13,2016,2,13,2016,1,1,January,3,Wednesday
20160114,2016-01-14,2016,2,14,2016,1,1,January,4,Thursday
20160115,2016-01-15,2016,2,15,2016,1,1,January,5,Friday
20160116,2016-01-16,2016,2,16,2016,1,1,January,6,Saturday
20160117,2016-01-17,2016,3,17,2016,1,1,January,0,Sunday
20160118,2016-01-18,2016,3,18,2016,1,1,January,1,Monday
20160119,2016-01-19,2016,3,19,2016,1,1,January,2,Tuesday
20160120,2016-01-20,2016,3,20,2016,1,1,January,3,Wednesday
20160121,2016-01-21,2016,3,21,2016,1,1,January,4,Thursday
20160122,2016-01-22,2016,3,22,2016,1,1,January,5,Friday
20160123,2016-01-23,2016,3,23,2016,1,1,January,6,Saturday
20160124,2016-01-24,2016,4,24,2016,1,1,January,0,Sunday
20160125,2016-01-25,2016,4,25,2016,1,1,January,1,Monday
20160126,2016-01-26,2016,4,26,2016,1,1,January,2,Tuesday
20160127,2016-01-27,2016,4,27,2016,1,1,January,3,Wednesday
20160128,2016-01-28,2016,4,28,2016,1,1,January,4,Thursday
20160129,2016-01-29,2016,4,29,2016,1,1,January,5,Friday
20160130,2016-01-30,2016,4,30,2016,1,1,January,6,Saturday
20160131,2016-01-31,2016,5,31,2016,1,1,January,0,Sunday
20160201,2016-02-01,2016,5,1,2016,1,2,February,1,Monday
20160202,2016-02-02,2016,5,2,2016,1,2,February,2,Tuesday
20160203,2016-02-03,2016,5,3,2016,1,2,February,3,Wednesday
20160204,2016-02-04,2016,5,4,2016,1,2,February,4,Thursday
20160205,2016-02-05,2016,5,5,2016,1,2,February,5,Friday
20160206,2016-02-06,2016,5,6,2016,1,2,February,6,Saturday
20160207,2016-02-07,2016,6,7,2016,1,2,February,0,Sunday
20160208,2016-02-08,2016,6,8,2016,1,2,February,1,Monday
20160209,2016-02-09,2016,6,9,2016,1,2,February,2,Tuesday
20160210,2016-02-10,2016,6,10,2016,1,2,February,3,Wednesday
20160211,2016-02-11,2016,6,11,2016,1,2,February,4,Thursday
20160212,2016-02-12,2016,6,12,2016,1,2,February,5,Friday
20160213,2016-02-13,2016,6,13,2016,1,2,February,6,Saturday
20160214,2016-02-14,2016,7,14,2016,1,2,February,0,Sunday
