popularity,date_id,region_id,region_name
27,20160425,100,Asia-Pacific
27,20160502,100,Asia-Pacific
26,20160509,100,Asia-Pacific
27.5,20160516,100,Asia-Pacific
26.5,20160523,100,Asia-Pacific
29.5,20160530,100,Asia-Pacific
28.5,20160606,100,Asia-Pacific
30.5,20160613,100,Asia-Pacific
31.5,20160620,100,Asia-Pacific
30.5,20160627,100,Asia-Pacific
30,20160704,100,Asia-Pacific
25.5,20160711,100,Asia-Pacific
28,20160718,100,Asia-Pacific
25.5,20160725,100,Asia-Pacific
29.5,20160801,100,Asia-Pacific
25,20160808,100,Asia-Pacific
25.5,20160815,100,Asia-Pacific
26.5,20160822,100,Asia-Pacific
27.5,20160829,100,Asia-Pacific
28.5,20160905,100,Asia-Pacific
28,20160912,100,Asia-Pacific
32.5,20160919,100,Asia-Pacific
34,20160926,100,Asia-Pacific
32.5,20161003,100,Asia-Pacific
28.5,20161010,100,Asia-Pacific
28,20161017,100,Asia-Pacific
27.5,20161024,100,Asia-Pacific
30,20161031,100,Asia-Pacific
27,20161107,100,Asia-Pacific
30,20161114,100,Asia-Pacific
30.5,20161121,100,Asia-Pacific
32,20161128,100,Asia-Pacific
31,20161205,100,Asia-Pacific
33,20161212,100,Asia-Pacific
36.5,20161219,100,Asia-Pacific
41,20161226,100,Asia-Pacific
39,20170102,100,Asia-Pacific
37.5,20170109,100,Asia-Pacific
37,20170116,100,Asia-Pacific
36,20170123,100,Asia-Pacific
33.5,20170130,100,Asia-Pacific
32.5,20170206,100,Asia-Pacific
31.5,20170213,100,Asia-Pacific
32,20170220,100,Asia-Pacific
30.5,20170227,100,Asia-Pacific
31,20170306,100,Asia-Pacific
32.5,20170313,100,Asia-Pacific
34.5,20170320,100,Asia-Pacific
35.5,20170327,100,Asia-Pacific
33,20170403,100,Asia-Pacific
38.5,20170410,100,Asia-Pacific
40.5,20170417,100,Asia-Pacific
37.5,20170424,100,Asia-Pacific
35,20170501,100,Asia-Pacific
32,20170508,100,Asia-Pacific
32.5,20170515,100,Asia-Pacific
34.5,20170522,100,Asia-Pacific
35,20170529,100,Asia-Pacific
36,20170605,100,Asia-Pacific
37,20170612,100,Asia-Pacific
34,20170619,100,Asia-Pacific
39,20170626,100,Asia-Pacific
37.5,20170703,100,Asia-Pacific
36.5,20170710,100,Asia-Pacific
35.5,20170717,100,Asia-Pacific
34.5,20170724,100,Asia-Pacific
34.5,20170731,100,Asia-Pacific
35.5,20170807,100,Asia-Pacific
36,20170814,100,Asia-Pacific
36.5,20170821,100,Asia-Pacific
36.5,20170828,100,Asia-Pacific
35.5,20170904,100,Asia-Pacific
35,20170911,100,Asia-Pacific
37,20170918,100,Asia-Pacific
38,20170925,100,Asia-Pacific
41,20171002,100,Asia-Pacific
37,20171009,100,Asia-Pacific
37.5,20171016,100,Asia-Pacific
39,20171023,100,Asia-Pacific
39,20171030,100,Asia-Pacific
44.5,20171106,100,Asia-Pacific
40,20171113,100,Asia-Pacific
40,20171120,100,Asia-Pacific
40,20171127,100,Asia-Pacific
43,20171204,100,Asia-Pacific
43.5,20171211,100,Asia-Pacific
45.5,20171218,100,Asia-Pacific
55,20171225,100,Asia-Pacific
53.5,20180101,100,Asia-Pacific
51,20180108,100,Asia-Pacific
51.5,20180115,100,Asia-Pacific
48.5,20180122,100,Asia-Pacific
43,20180129,100,Asia-Pacific
42,20180205,100,Asia-Pacific
41.5,20180212,100,Asia-Pacific
47.5,20180219,100,Asia-Pacific
42.5,20180226,100,Asia-Pacific
45,20180305,100,Asia-Pacific
44.5,20180312,100,Asia-Pacific
